Time 2023-11-27 13:11:58.996298, yaw 7, pitch -13, roll 3
Time 2023-11-27 13:11:59.066504, yaw 8, pitch -13, roll 2
Time 2023-11-27 13:11:59.131332, yaw 8, pitch -13, roll 2
Time 2023-11-27 13:11:59.197352, yaw 10, pitch -12, roll 2
Time 2023-11-27 13:11:59.260471, yaw 9, pitch -13, roll 2
Time 2023-11-27 13:11:59.327198, yaw 10, pitch -13, roll 1
Time 2023-11-27 13:11:59.397623, yaw 10, pitch -14, roll 1
Time 2023-11-27 13:11:59.466231, yaw 10, pitch -14, roll 1
Time 2023-11-27 13:11:59.531336, yaw 10, pitch -13, roll 1
Time 2023-11-27 13:11:59.603336, yaw 11, pitch -12, roll 1
Time 2023-11-27 13:11:59.666345, yaw 11, pitch -13, roll 1
Time 2023-11-27 13:11:59.731885, yaw 11, pitch -13, roll 1
Time 2023-11-27 13:11:59.798660, yaw 10, pitch -13, roll 1
Time 2023-11-27 13:11:59.865376, yaw 10, pitch -13, roll 1
Time 2023-11-27 13:11:59.930222, yaw 9, pitch -14, roll 2
Time 2023-11-27 13:11:59.997923, yaw 9, pitch -14, roll 1
Time 2023-11-27 13:12:00.057788, yaw 9, pitch -13, roll 2
Time 2023-11-27 13:12:00.131830, yaw 9, pitch -15, roll 1
Time 2023-11-27 13:12:00.198363, yaw 8, pitch -16, roll 1
Time 2023-11-27 13:12:00.264669, yaw 7, pitch -17, roll 1
Time 2023-11-27 13:12:00.329425, yaw 6, pitch -18, roll 1
Time 2023-11-27 13:12:00.402243, yaw 6, pitch -19, roll 0
Time 2023-11-27 13:12:00.461417, yaw 7, pitch -19, roll 0
Time 2023-11-27 13:12:00.538486, yaw 5, pitch -21, roll 0
Time 2023-11-27 13:12:00.592025, yaw 5, pitch -24, roll 0
Time 2023-11-27 13:12:00.660555, yaw 5, pitch -28, roll 0
Time 2023-11-27 13:12:00.733641, yaw 6, pitch -29, roll 1
Time 2023-11-27 13:12:04.065613, yaw 2, pitch -23, roll 0
Time 2023-11-27 13:12:04.135907, yaw 4, pitch -19, roll -1
Time 2023-11-27 13:12:04.208046, yaw 3, pitch -14, roll 0
Time 2023-11-27 13:12:04.262709, yaw 3, pitch -12, roll 0
Time 2023-11-27 13:12:04.336035, yaw 4, pitch -10, roll 0
Time 2023-11-27 13:12:04.408692, yaw 3, pitch -8, roll 0
Time 2023-11-27 13:12:04.464078, yaw 4, pitch -8, roll 0
Time 2023-11-27 13:12:04.533360, yaw 3, pitch -8, roll 0
Time 2023-11-27 13:12:04.600093, yaw -4, pitch -4, roll 179
Time 2023-11-27 13:12:04.666353, yaw -4, pitch -5, roll 179
Time 2023-11-27 13:12:04.737727, yaw -4, pitch -4, roll 179
Time 2023-11-27 13:12:04.797695, yaw -3, pitch -5, roll 179
Time 2023-11-27 13:12:04.869391, yaw -4, pitch -4, roll 179
Time 2023-11-27 13:12:04.931800, yaw -3, pitch -6, roll 178
Time 2023-11-27 13:12:04.999541, yaw 2, pitch -9, roll -1
Time 2023-11-27 13:12:05.071291, yaw 3, pitch -10, roll -1
Time 2023-11-27 13:12:05.131117, yaw 2, pitch -10, roll 0
Time 2023-11-27 13:12:05.204856, yaw 2, pitch -9, roll 0
Time 2023-11-27 13:12:05.264165, yaw 1, pitch -10, roll 0
Time 2023-11-27 13:12:05.332003, yaw 2, pitch -10, roll 0
Time 2023-11-27 13:12:05.402008, yaw 2, pitch -11, roll 0
Time 2023-11-27 13:12:05.472512, yaw 3, pitch -11, roll 0
Time 2023-11-27 13:12:05.526992, yaw 2, pitch -12, roll 0
Time 2023-11-27 13:12:05.602799, yaw 3, pitch -12, roll -1
Time 2023-11-27 13:12:05.670644, yaw 2, pitch -15, roll -1
Time 2023-11-27 13:12:05.735682, yaw 4, pitch -16, roll -2
Time 2023-11-27 13:12:05.803349, yaw 4, pitch -20, roll -5
Time 2023-11-27 13:12:05.872356, yaw 11, pitch -26, roll -12
Time 2023-11-27 13:12:06.406398, yaw 7, pitch -21, roll -15
Time 2023-11-27 13:12:06.466578, yaw 6, pitch -22, roll -15
Time 2023-11-27 13:12:06.535608, yaw 7, pitch -21, roll -16
Time 2023-11-27 13:12:06.600866, yaw 7, pitch -20, roll -15
Time 2023-11-27 13:12:06.672396, yaw 8, pitch -21, roll -16
Time 2023-11-27 13:12:06.730284, yaw 10, pitch -20, roll -18
Time 2023-11-27 13:12:06.790597, yaw 10, pitch -20, roll -18
Time 2023-11-27 13:12:06.869293, yaw 8, pitch -19, roll -17
Time 2023-11-27 13:12:06.930212, yaw 10, pitch -18, roll -16
Time 2023-11-27 13:12:07.001782, yaw 11, pitch -19, roll -17
Time 2023-11-27 13:12:07.062051, yaw 5, pitch -24, roll -12
Time 2023-11-27 13:12:07.136408, yaw 2, pitch -25, roll -8
Time 2023-11-27 13:12:07.200935, yaw 3, pitch -27, roll -9
