Time 2023-12-17 18:54:51.827663, yaw 10, pitch -13, roll 0
Time 2023-12-17 18:54:51.926269, yaw 11, pitch -14, roll 0
Time 2023-12-17 18:54:52.025983, yaw 11, pitch -11, roll 0
Time 2023-12-17 18:54:52.128743, yaw 10, pitch -13, roll 1
Time 2023-12-17 18:54:52.222224, yaw 10, pitch -15, roll 0
Time 2023-12-17 18:54:52.323702, yaw 12, pitch -13, roll 0
Time 2023-12-17 18:54:52.426216, yaw 12, pitch -13, roll 0
Time 2023-12-17 18:54:52.526686, yaw 13, pitch -14, roll 0
Time 2023-12-17 18:54:52.624624, yaw 11, pitch -13, roll 0
Time 2023-12-17 18:54:52.728269, yaw 13, pitch -13, roll 0
Time 2023-12-17 18:54:52.827813, yaw 12, pitch -13, roll 0
Time 2023-12-17 18:54:52.928086, yaw 12, pitch -13, roll 0
Time 2023-12-17 18:54:53.027822, yaw 11, pitch -12, roll 0
Time 2023-12-17 18:54:53.127339, yaw 13, pitch -12, roll 0
Time 2023-12-17 18:54:53.227772, yaw 13, pitch -10, roll 0
Time 2023-12-17 18:54:53.326807, yaw 11, pitch -12, roll 0
Time 2023-12-17 18:54:53.424983, yaw 11, pitch -14, roll 0
Time 2023-12-17 18:54:53.529531, yaw 11, pitch -11, roll 0
Time 2023-12-17 18:54:53.624060, yaw 13, pitch -12, roll 0
Time 2023-12-17 18:54:53.723022, yaw 12, pitch -11, roll 0
Time 2023-12-17 18:54:53.825573, yaw 13, pitch -10, roll 0
